panoId,heading,pitch,angW,angH,confidence,panoHeading,tilt,detectionHeading,detectionPitch,detectionFov,eq_top_x,eq_top_y,eq_bot_x,eq_bot_y,gn_top_x,gn_top_y,gn_bot_x,gn_bot_y,predicted_eq_x,predicted_eq_y,yCorrection,imageWidth,imageHeight,lat,lon
uuNltBg9QNmxiyQPZvVqfg,224.480,3.651,2.7427,4.9321,0.784,162.93,91.30,206.63,0.00,90,10977.9,3929.1,10977.9,4161.4,,,,,10990.0,3958.0,28.2,16384,8192,42.349022,-71.068176
uuNltBg9QNmxiyQPZvVqfg,73.035,14.887,2.8791,9.8879,0.833,162.93,91.30,116.63,0.00,90,4086.0,3088.2,4075.4,3571.0,,,,,4116.3,3418.8,0.3,16384,8192,42.349022,-71.068176
uuNltBg9QNmxiyQPZvVqfg,144.045,0.083,2.0099,2.9477,0.249,162.93,91.30,116.63,0.00,90,7332.9,4047.0,7331.8,4175.6,,,,,7332.2,4148.1,55.9,16384,8192,42.349022,-71.068176
ZgFSTvPsfkW45Ki7PtF_EQ,61.094,0.591,2.5522,4.8591,0.683,15.26,92.19,99.11,0.00,90,10287.6,4024.8,10280.8,4255.9,,,,,10278.3,4138.5,69.3,16384,8192,42.349417,-71.066563
xXkYRz-X_piFt-vqzht0xQ,163.139,3.210,1.5445,3.9225,0.588,148.36,82.33,207.38,0.00,90,8882.4,3541.9,8868.9,3730.4,,,,,8875.6,3612.4,-337.6,16384,8192,42.349862,-71.067212
xXkYRz-X_piFt-vqzht0xQ,215.478,-40.097,2.9379,2.2485,0.239,148.36,82.33,207.38,0.00,90,10962.9,5795.7,10953.1,5911.9,,,,,10996.4,5769.4,-151.4,16384,8192,42.349862,-71.067212
dE8YkhJn_aFmkRp3MW0gtg,325.379,7.872,4.5115,4.9645,0.608,255.14,88.89,298.92,0.00,90,11387.6,3619.1,11381.1,3838.3,,,,,11395.2,3720.6,-17.1,16384,8192,42.349784,-71.067573
dE8YkhJn_aFmkRp3MW0gtg,236.121,-0.088,2.3594,3.6926,0.589,255.14,88.89,208.92,0.00,90,7327.9,3968.2,7327.9,4136.5,,,,,7326.1,4052.1,-47.9,16384,8192,42.349784,-71.067573
dE8YkhJn_aFmkRp3MW0gtg,236.307,-3.528,2.1386,3.2536,0.323,255.14,88.89,208.92,0.00,90,7323.2,4129.5,7329.6,4284.0,,,,,7335.5,4208.6,-48.0,16384,8192,42.349784,-71.067573
FzVWqToJonZLFfe8wf9M-Q,275.887,2.237,2.4885,2.6416,0.523,254.25,88.91,299.75,0.00,90,9182.5,3935.9,9186.9,4058.0,,,,,9177.4,3948.0,-46.2,16384,8192,42.349417,-71.069308
FzVWqToJonZLFfe8wf9M-Q,235.733,-1.161,2.0177,3.0232,0.413,254.25,88.91,209.75,0.00,90,7348.5,4004.4,7356.1,4140.7,,,,,7349.2,4101.8,-47.1,16384,8192,42.349417,-71.069308
_L2uU86JagS2OGS4bjjRLw,311.749,5.444,5.0582,5.4009,0.820,254.36,88.74,299.77,0.00,90,10819.9,3761.6,10813.2,4008.9,,,,,10808.9,3817.3,-30.9,16384,8192,42.349390,-71.069442
